solver;run;success;time_seconds;best_cost;error
GA_Satisfactory_HybridAdaptiveMutation;22;false;600,130000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_HybridAdaptiveMutation;23;true;16,769000;400,000000;
GA_Satisfactory_HybridAdaptiveMutation;24;true;17,093000;386,000000;
GA_Satisfactory_HybridAdaptiveMutation;25;true;17,863000;340,000000;
GA_Satisfactory_HybridAdaptiveMutation;26;false;600,184000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_HybridAdaptiveMutation;27;true;25,655000;319,000000;
GA_Satisfactory_HybridAdaptiveMutation;28;true;16,544000;397,000000;
GA_Satisfactory_HybridAdaptiveMutation;29;true;21,240000;389,000000;
GA_Satisfactory_HybridAdaptiveMutation;30;true;26,008000;297,000000;
GA_Satisfactory_HybridAdaptiveMutation;31;false;600,165000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_HybridAdaptiveMutation;32;true;18,101000;399,000000;
GA_Satisfactory_HybridAdaptiveMutation;33;false;600,238000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_HybridAdaptiveMutation;34;true;23,621000;398,000000;
GA_Satisfactory_HybridAdaptiveMutation;35;true;25,765000;373,000000;
GA_Satisfactory_HybridAdaptiveMutation;36;false;600,197000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_HybridAdaptiveMutation;37;true;25,031000;374,000000;
GA_Satisfactory_HybridAdaptiveMutation;38;true;22,911000;381,000000;
GA_Satisfactory_HybridAdaptiveMutation;39;true;19,589000;376,000000;
GA_Satisfactory_HybridAdaptiveMutation;40;true;17,436000;399,000000;
GA_Satisfactory_HybridAdaptiveMutation;41;true;17,028000;397,000000;
GA_Satisfactory_HybridAdaptiveMutation;42;true;21,213000;398,000000;
GA_Satisfactory_HybridAdaptiveMutation;43;true;19,826000;367,000000;
GA_Satisfactory_HybridAdaptiveMutation;44;true;22,142000;392,000000;
GA_Satisfactory_HybridAdaptiveMutation;45;false;600,307000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_HybridAdaptiveMutation;46;true;18,860000;353,000000;
GA_Satisfactory_HybridAdaptiveMutation;47;true;21,048000;346,000000;
GA_Satisfactory_HybridAdaptiveMutation;48;true;18,137000;391,000000;
GA_Satisfactory_HybridAdaptiveMutation;49;true;17,072000;400,000000;
GA_Satisfactory_HybridAdaptiveMutation;50;true;15,239000;398,000000;
GA_Satisfactory_AllStrategies;21;false;600,174000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;22;false;600,172000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;23;false;600,136000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;24;false;600,142000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;25;false;600,192000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;26;false;600,195000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;27;false;600,162000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;28;false;600,220000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;29;false;600,150000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;30;false;600,197000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;31;false;600,160000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
GA_Satisfactory_AllStrategies;32;false;600,127000;-1,000000;solve failed: java.lang.RuntimeException: No feasible solution found.
